run_id,description,learning_rate,n_steps,batch_size,n_epochs,gamma,gae_lambda,ent_coef,clip_range,total_timesteps,mean_reward,std_reward,train_time_min
1,"Baseline — lr=3e-4, n_steps=2048, batch=64, ent=0.01",0.0003,2048,64,10,0.99,0.95,0.01,0.2,150000,-383.3,115.01,1.19
2,"High entropy — lr=3e-4, ent=0.05, n_steps=2048",0.0003,2048,64,10,0.99,0.95,0.05,0.2,150000,-392.2,84.31,1.18
3,"Very high entropy — lr=3e-4, ent=0.10, n_steps=2048",0.0003,2048,64,10,0.99,0.95,0.1,0.2,150000,-436.6,105.07,1.17
4,"Low LR — lr=1e-4, ent=0.01, n_steps=2048",0.0001,2048,64,10,0.99,0.95,0.01,0.2,150000,-327.6,100.51,1.26
5,"Short rollout — lr=3e-4, n_steps=512, batch=64",0.0003,512,64,10,0.99,0.95,0.01,0.2,150000,-364.0,115.37,1.18
6,"Long rollout — lr=3e-4, n_steps=4096, batch=128",0.0003,4096,128,10,0.99,0.95,0.01,0.2,150000,-386.0,114.03,0.91
7,"Tight clip — lr=3e-4, clip=0.1, ent=0.01, n_steps=2048",0.0003,2048,64,10,0.99,0.95,0.01,0.1,150000,-435.0,105.62,1.25
8,"Low gamma — lr=3e-4, γ=0.95, gae=0.90, ent=0.01",0.0003,2048,64,10,0.95,0.9,0.01,0.2,150000,-361.6,111.69,1.21
9,"More epochs — lr=3e-4, n_epochs=20, ent=0.01",0.0003,2048,64,20,0.99,0.95,0.01,0.2,150000,-482.95,224.85,1.89
10,"Tuned combo — lr=2e-4, n_steps=4096, ent=0.03, epochs=15",0.0002,4096,128,15,0.99,0.95,0.03,0.2,150000,-389.45,158.73,1.31
